Transaction_Amount,Category,Preferred_Payment_Method,Last_Used_Credit_Card_Days,Last_Used_UPI_Days,UPI_Usage_Count,Card_Usage_Count,Wallet_Usage_Count,EMI_Usage_Count,Bank_Offer_Active,Bank_Name,Is_High_Value,Failure_Rate_Last10,Time_of_Day,Recommended_Payment_Method
18789.55,Electronics,UPI,28,14,10,7,28,4,0,SBI,1,0.08,Afternoon,EMI
43322.19,Grocery,Credit Card,35,39,23,2,21,4,1,HDFC,1,0.42,Morning,EMI
9173.07,Travel,Wallet,20,32,11,25,21,8,0,HDFC,0,0.31,Morning,Debit Card
14678.02,Electronics,Credit Card,15,14,29,29,14,2,0,ICICI,1,0.49,Morning,Debit Card
43011.03,Travel,Credit Card,6,20,8,6,17,3,1,Kotak,1,0.28,Night,EMI
896.72,Grocery,Wallet,1,19,27,14,27,6,0,Kotak,0,0.42,Evening,Debit Card
19613.92,Electronics,Credit Card,49,39,3,1,29,5,0,Axis,1,0.28,Evening,EMI
42130.01,Fashion,Credit Card,43,33,9,29,3,7,0,ICICI,1,0.26,Evening,EMI
42242.24,Electronics,UPI,44,17,14,20,23,9,1,Axis,1,0.3,Morning,Credit Card
14884.05,Fashion,Debit Card,44,0,24,6,8,7,0,Kotak,1,0.15,Evening,UPI
10022.24,Utilities,EMI,7,34,2,0,26,4,1,HDFC,1,0.33,Night,EMI
42516.93,Electronics,EMI,11,33,0,15,22,6,0,SBI,1,0.33,Evening,EMI
13808.62,Travel,Credit Card,34,0,2,4,14,2,1,HDFC,1,0.28,Morning,Credit Card
24740.4,Grocery,Debit Card,8,14,14,25,9,2,0,HDFC,1,0.32,Afternoon,Debit Card
25477.68,Electronics,Wallet,29,36,22,6,12,3,1,SBI,1,0.3,Night,EMI
44035.35,Fashion,Credit Card,41,44,29,24,20,5,0,SBI,1,0.11,Evening,EMI
44175.68,Grocery,Debit Card,57,54,27,24,6,0,0,HDFC,1,0.32,Afternoon,EMI
17693.19,Grocery,Credit Card,2,38,5,7,26,8,0,Axis,1,0.35,Night,EMI
12281.86,Fashion,EMI,58,53,23,8,19,0,0,ICICI,1,0.13,Evening,UPI
34845.58,Electronics,Credit Card,2,48,4,16,23,0,0,HDFC,1,0.49,Evening,Debit Card
1749.23,Utilities,Debit Card,31,32,0,18,29,1,0,HDFC,0,0.22,Afternoon,Wallet
29675.57,Travel,Debit Card,54,10,23,26,16,5,0,ICICI,1,0.32,Night,EMI
26835.16,Utilities,Wallet,47,15,0,8,27,5,0,ICICI,1,0.43,Evening,EMI
11090.03,Grocery,Credit Card,25,2,18,19,6,3,1,Kotak,1,0.2,Evening,Credit Card
41901.73,Travel,Wallet,10,27,24,24,17,6,0,Kotak,1,0.35,Night,EMI
8830.25,Fashion,Credit Card,47,56,19,27,16,1,1,ICICI,0,0.48,Night,Credit Card
